mmsi,vessel_name,timestamp,latitude,longitude,speed_knots,heading
123456789,MV Suspect Alpha,2026-08-27T16:41:01Z,19.8968,-155.5828,14.5,270.0
399775771,Ever Given,2026-08-28T04:16:27Z,21.472859005128885,-154.13437958953008,11.9,345.6
461802290,Emma Maersk,2026-08-27T04:53:37Z,19.471190167388936,-155.77331716730566,15.4,176.6
121386445,Fure West,2026-08-27T19:30:45Z,21.075425749778816,-154.1598911964061,13.7,69.0
988657344,Suezmax Glory,2026-08-27T09:31:44Z,17.97276783556082,-156.33417003578185,5.7,226.8
504751630,Boraq,2026-08-27T12:01:19Z,20.99881273036993,-154.00904618386116,8.5,231.2
361992349,Pioneering Spirit,2026-08-27T21:57:48Z,19.042904916740966,-155.79374860366812,19.0,243.2
657535948,CSCL Globe,2026-08-27T08:45:27Z,21.748022827180314,-156.38646879816707,19.1,353.7
586528548,Knock Nevis,2026-08-27T11:24:29Z,21.418823172667658,-155.83223195754786,8.4,111.5
639096189,TI Europe,2026-08-28T03:15:13Z,19.239679325071286,-157.56677402224082,15.6,79.7
919848814,TI Europe,2026-08-27T19:18:18Z,18.374665111549174,-154.54750322117528,7.4,10.1
392162674,Esso Atlantic,2026-08-28T03:39:58Z,17.914755054026276,-155.33930498827903,7.0,164.5
486681895,Cosco Guangzhou,2026-08-27T19:46:51Z,18.33784234019285,-156.74862589639122,16.6,284.5
883042308,CSCL Globe,2026-08-28T00:44:11Z,19.498220608225513,-155.22848385697873,18.8,198.9
321884987,Pioneering Spirit,2026-08-28T03:01:15Z,18.586020791216285,-156.4735695248257,5.4,351.5
528651909,CMA CGM Marco Polo,2026-08-27T05:06:59Z,20.54488890023182,-156.7847613385848,5.6,169.2
783693316,Ever Given,2026-08-28T01:53:18Z,18.137253133083867,-156.19851995660687,5.3,77.2
190552719,Esso Atlantic,2026-08-28T00:52:33Z,21.595675985751427,-157.0919968655381,19.0,21.9
864991133,Pioneering Spirit,2026-08-27T11:33:15Z,20.553844936059182,-154.86727739002586,18.9,334.6
993931845,TI Europe,2026-08-27T18:13:15Z,20.138875191212584,-155.8587595657645,13.7,358.7
706205459,Cosco Guangzhou,2026-08-27T20:58:05Z,20.53086554998225,-156.5475969582819,12.7,228.7
691545883,Boraq,2026-08-27T20:26:14Z,19.448932691999943,-154.7503271905417,16.8,211.8
216654457,Batillus,2026-08-27T04:51:02Z,21.219863998676633,-154.93860090917255,12.5,357.0
296102501,Nordic Zenith,2026-08-27T15:36:12Z,18.828872656237117,-156.1378800578768,7.7,152.6
223413319,CMA CGM Marco Polo,2026-08-27T17:59:42Z,21.046777877039645,-154.72469680214815,8.0,341.2
